,feature_name,log_reg_coef,VIF
13,is_improper_backing,-0.3078215425822331,1.0459726243590277
12,is_parked,-0.3016950963897404,1.249254807750714
11,is_dark_has_no_lighting,-0.07793408126164093,1.0352737541209807
10,has_snow_ice_on_road,-0.060282028103602545,1.082689859769059
9,has_no_physical_divider,-0.01580713846943803,1.0523650679529941
8,is_clear_weather,0.016820818664332653,1.0841488742872614
7,has_no_controls,0.11418793206260641,1.4906453052417121
6,is_head_on,0.12780550760065393,1.012912620844525
5,has_disregarded_traffic_devices,0.1637253457618501,1.112681439854371
4,is_no_sunlight,0.2311439942352756,1.0534040837311414
3,is_cyclist,0.2585306180265503,1.0258834917579247
2,POSTED_SPEED_LIMIT,0.25976049456206657,1.1013568026390421
1,is_intersection_related_involve,0.2734075916958714,1.487901702367479
0,is_pedestrian,0.4575942336626124,1.062399565916345
